title,price,mileage,dealer_name
2015 Lexus GS 350 350,"$17,495","114,316 mi.",Gillman Honda Houston
2013 Lexus GS 350 Base,"$18,999","84,311 mi.",Momentum BMW
2016 Lexus GS 350 F Sport,"$23,999","100,765 mi.",Momentum BMW
2015 Lexus GS 350 Crafted Line,"$21,141","90,648 mi.",Advantage BMW Midtown
2013 Lexus GS 350 Base,"$16,795","118,627 mi.",Hayes Family Auto
2014 Lexus GS 450h Base,"$19,990","83,133 mi.",Lynch GM Superstore
2013 Lexus GS 350 Base,"$16,599","152,675 mi.",ENE Motors
2020 Lexus GS 350 F Sport,"$38,394","28,769 mi.",Zeigler Honda of Racine
2002 Lexus GS 300 Base (A5),"$3,495","151,534 mi.",Your Choice Autos Waukegan
2006 Lexus GS 300 ,"$13,995","50,472 mi.",Moto Zone Inc.
2013 Lexus GS 350 Base,"$19,900","93,571 mi.",Car Smart of Memphis
2016 Lexus GS 350 Base,"$21,941","128,036 mi.",Homer Skelton Ford
2016 Lexus GS F Base,"$46,995","62,522 mi.",Unlimited Motors in Noblesville
2013 Lexus GS 350 Base,"$16,900","198,506 mi.",GR Auto Gallery
2016 Lexus GS 350 F Sport,"$32,995","48,950 mi.",Dixie Motors Inc
2011 Lexus GS 350 Base,"$12,995","122,884 mi.",International Auto Outlet
2015 Lexus GS 350 ,"$19,995","95,566 mi.",Luxury Imports
2015 Lexus GS 350 Base,"$23,000","98,356 mi.",Jake Sweeney Chrysler Jeep Dodge
2015 Lexus GS 350 Base,"$18,520","97,600 mi.",Performance Kings Honda
2015 Lexus GS 350 Base,"$22,950","57,620 mi.",Landen Motors
2015 Lexus GS 350 Base,"$16,995","130,361 mi.",Premier Automotive
2020 Lexus GS 350 Base,"$35,899","52,616 mi.",Meade Lexus of Lakeside
2019 Lexus GS 350 F Sport,"$35,989","59,027 mi.",Gravity Motor Cars
2016 Lexus GS 350 Base,"$23,023","119,871 mi.",Nalley Lexus Galleria
2014 Lexus GS 350 Base,"$22,999","95,039 mi.",Motorpoint Roswell
2015 Lexus GS 350 Crafted Line,"$19,990","108,814 mi.",Newnan Peachtree Chrysler Dodge Jeep RAM
2018 Lexus GS 350 F Sport,"$35,797","47,048 mi.",Hennessy Porsche
2016 Lexus GS 350 F Sport,"$23,495","82,584 mi.",Drive Motorcars
2014 Lexus GS 350 Base,"$20,509","87,223 mi.",Classic Lexus Willoughby Hills
2013 Lexus GS 350 Base,"$16,995","122,119 mi.",Hennessy Lexus of Atlanta
2015 Lexus GS 350 Base,"$20,967","98,866 mi.",Lexus of Akron Canton
2013 Lexus GS 350 Base,"$22,990","58,571 mi.",Audi Mentor
2016 Lexus GS 350 Base,"$31,200","42,175 mi.",Beaver Toyota Cumming
2020 Lexus GS 350 F Sport,"$37,990","22,940 mi.",ALM Gwinnett
2018 Lexus GS 350 F Sport,"$36,990","34,089 mi.",Hennessy Lexus Gwinnett
2013 Lexus GS 350 Base,"$12,999","144,841 mi.",Georgia Auto Dealer LLC
2013 Lexus GS 350 Base,"$16,997","104,627 mi.",Magnetism Motors
2017 Lexus GS 350 F Sport,"$25,920","101,450 mi.",Used Imports Auto
2006 Lexus GS 430 Base (A6),"$16,900","63,692 mi.",Exotic Motors Atlanta
2013 Lexus GS 350 Base,"$17,989","126,767 mi.",Mercedes-Benz Of Athens
2020 Lexus GS 350 F Sport,"$38,997","9,015 mi.",Panama City Toyota
2019 Lexus GS 350 F Sport,"$34,990","42,133 mi.",Toyota of Erie
2016 Lexus GS 350 Base,"$25,988","52,878 mi.",Land Rover South Hills
2015 Lexus GS 350 ,"$20,370","118,858 mi.",Hendrick BMW
2017 Lexus GS 350 Base,"$32,995","26,029 mi.",ALM Hyundai of Florence
2017 Lexus GS F Base,"$53,750","50,412 mi.",Pohanka Lexus
2017 Lexus GS 350 F Sport,"$32,980","63,950 mi.",Auto Leader
2013 Lexus GS 350 Base,"$23,997","96,301 mi.",RVA Automotive Group
2013 Lexus GS 350 Base,"$15,995","158,214 mi.",RVA Automotive Group
2018 Lexus GS 350 F Sport,"$31,448","60,161 mi.",AutoLenders Exton
2008 Lexus GS 350 Base,"$13,999","96,231 mi.",Trend Auto Motors Inc
2018 Lexus GS 350 Base,"$32,448","37,668 mi.",Weathers Motors
2017 Lexus GS 350 F Sport,"$28,680","63,764 mi.",OFFLEASE ORLANDO
2015 Lexus GS 350 Crafted Line,"$20,988","110,107 mi.",Winter Park Auto Exchange Inc
2015 Lexus GS 350 Base,"$19,999","102,804 mi.",Auto Express
2015 Lexus GS 350 Crafted Line,"$17,789","120,671 mi.",Easy Auto
2015 Lexus GS 350 ,"$20,900","55,615 mi.",Mercedes-Benz of Melbourne
2002 Lexus GS 300 Base,"$44,900","186,853 mi.",Speed Gallery Miami
2015 Lexus GS 350 Base,"$19,499","78,500 mi.",
2019 Lexus GS 350 F Sport,"$39,998","39,921 mi.",CarMax South Portland - Offering Express Pickup and Home Delivery
2013 Lexus GS 350 Base,"$16,900","114,222 mi.",Peterson Auto Group
2014 Lexus GS 350 Base,"$16,495","113,152 mi.",Instant Equity Auto
2013 Lexus GS 350 Base,"$18,987","107,545 mi.",Corwin Ford
2013 Lexus GS 350 Base,"$19,613","69,275 mi.",Melloy Honda
2005 Lexus GS 430 ,"$11,998","158,887 mi.",Right Price Motors
1999 Lexus GS 400 Base (A5),"$6,988","164,506 mi.",Econo Auto Sales Inc
2006 Lexus GS 300 Base,"$3,900","212,497 mi.",EASY CAR AUTO SALES
2016 Lexus GS 350 F Sport,"$29,895","52,222 mi.",California Auto Sales
2013 Lexus GS 350 Base,"$16,476","137,065 mi.",Folsom Lake Toyota
2013 Lexus GS 350 Base,"$16,977","97,253 mi.",Roseville Toyota
2016 Lexus GS 350 Base,"$25,849","133,689 mi.",Future Ford of Sacramento
2014 Lexus GS 350 Base,"$14,544","175,350 mi.",Car Expo Auto Center
2019 Lexus GS 350 F Sport,"$34,956","49,965 mi.",Car Expo Auto Center
2015 Lexus GS 350 Crafted Line,"$20,795","101,342 mi.",Car Expo Auto Center
2009 Lexus GS 350 Base,"$11,999","118,370 mi.",Premium Auto Sales
2015 Lexus GS 350 Crafted Line,"$18,999","115,215 mi.",Auto Gallery Modesto LLC
2018 Lexus GS 350 F Sport,"$34,998","42,280 mi.",CarMax Sacramento South - Offering Express Pickup and Home Delivery
2006 Lexus GS 300 Base,"$8,999","129,796 mi.",Nmotion Motors
2016 Lexus GS 350 Base,"$26,992","44,472 mi.",STG Auto Group of Montclair
2018 Lexus GS 350 F Sport,"$32,688","39,874 mi.",Westcoast Auto Sales
2020 Lexus GS 350 F Sport,"$38,999","16,852 mi.",STG Auto Group of Montclair
2001 Lexus GS 300 ,"$11,274","60,748 mi.",HIGH ROAD AUTOS LLC
2020 Lexus GS 350 F Sport,"$36,998","37,944 mi.",Buena Park Honda
1993 Lexus GS 300 ,"$16,995","104,531 mi.",Zee Motors Inc
2010 Lexus GS 350 ,"$10,495","136,249 mi.",Royal Auto Dealer Los Angeles
2015 Lexus GS 350 ,"$20,994","71,954 mi.",Orange Coast Chrysler Jeep Dodge Ram Fiat
2018 Lexus GS 350 F Sport,"$40,288","34,495 mi.",Lexus of Stevens Creek
2017 Lexus GS 350 GS 350,"$32,800","23,000 mi.",Reliant Motors
2018 Lexus GS 350 F Sport,"$31,495","86,790 mi.",Audi Sioux Falls
2013 Lexus GS 350 Base,"$17,988","116,935 mi.",Gretna Auto Outlet
2017 Lexus GS 350 Base,"$31,999","67,809 mi.",Hendrick Lexus Kansas City
2013 Lexus GS 350 Base,"$13,900","172,195 mi.",Westrum Enterprises LLC
2016 Lexus GS 200t F Sport,"$13,999","189,521 mi.",North Texas Vehicle Exchange
2016 Lexus GS 350 F Sport,"$29,995","77,128 mi.",United Auto Group
2009 Lexus GS 450h ,"$16,995","84,235 mi.",United Auto Group
2018 Lexus GS 350 ,"$32,998","36,813 mi.",CarMax Austin North - Offering Express Pickup and Home Delivery
2014 Lexus GS 350 Base,"$19,995","86,262 mi.",AutoNation USA St. Louis
2013 Lexus GS 350 Base,"$15,995","150,030 mi.",LA Auto Sales
2006 Lexus GS 300 Base,"$6,995","132,948 mi.",Rides Unlimited Chicago
2001 Lexus GS 300 ,"$8,990","175,959 mi.",International Car Center
2013 Lexus GS 350 Base,"$19,903","108,197 mi.","Mt. Moriah Auto Sales, Inc."
2013 Lexus GS 350 Base,"$16,850","96,429 mi.",Sterling Value Pre-Owned
2016 Lexus GS 200t F Sport,"$20,897","114,850 mi.",Jackson Mac Haik Chrysler Dodge Jeep Ram
2018 Lexus GS 350 F Sport,"$29,950","76,294 mi.",Fritz in Fishers
2014 Lexus GS 350 Base,"$19,772","104,478 mi.",World Class Motors
2013 Lexus GS 350 Base,"$26,995","28,827 mi.",ACRA Pre-Owned Superstore
2019 Lexus GS 350 F Sport,"$37,395","52,796 mi.",Ed Martin Chrysler Dodge Jeep RAM
2015 Lexus GS 350 Base,"$21,500","103,160 mi.",Ed Martin Budget Cars
2013 Lexus GS 350 Base,"$19,856","98,498 mi.",Oxmoor Toyota
2020 Lexus GS 350 F Sport,"$40,588","46,187 mi.",Cronin Toyota & Nissan of Richmond
2015 Lexus GS 350 Base,"$21,100","87,886 mi.",Jim Schmidt Chevrolet of Delphos
2013 Lexus GS 350 Base,"$11,500","198,821 mi.",Suburban Toyota of Troy
2015 Lexus GS 350 ,"$24,409","90,738 mi.",Meade Lexus of Lakeside
2020 Lexus GS 350 F Sport,"$38,599","46,562 mi.",Meade Lexus of Lakeside
2013 Lexus GS 350 Base,"$9,995","200,357 mi.",Your Ride
2013 Lexus GS 350 Base,"$16,493","123,255 mi.",Cars 4 U LLC
2013 Lexus GS 350 Base,"$12,000","191,599 mi.",Sevierville Auto Brokers
2015 Lexus GS 350 ,"$22,750","79,480 mi.",Olympic Auto Sales
2007 Lexus GS 350 ,"$5,995","189,000 mi.",Car N Drive Auto
2016 Lexus GS 200t ,"$28,998","21,991 mi.",CarMax Hickory - Offering Express Pickup and Home Delivery
2018 Lexus GS 350 F Sport,"$35,995","60,278 mi.",Prestige Motorworks LLC
2018 Lexus GS 350 F Sport,"$21,558","121,326 mi.",Fairfax Volvo Cars
2017 Lexus GS 350 Base,"$32,990","26,166 mi.",Driver's Village
2010 Lexus GS 350 Base,"$16,999","66,071 mi.",Car Trade
2020 Lexus GS 350 F Sport,"$42,083","21,251 mi.",Piazza Hyundai of West Chester
2016 Lexus GS 350 Base,"$32,160","43,359 mi.",Daytona Nissan
2015 Lexus GS 350 ,"$19,464","107,354 mi.",AutoNation Honda Sanford
2015 Lexus GS 350 ,"$21,449","103,033 mi.",AutoLenders of Newtown Square
2008 Lexus GS 350 Base,"$13,999","112,000 mi.",
2017 Lexus GS 350 Base,"$34,949","11,184 mi.",CarShop Hatfield
2015 Lexus GS 350 Base,"$16,980","108,142 mi.",Sport Mazda North
2015 Lexus GS 350 Crafted Line,"$23,950","84,190 mi.",New Concept Inc
2013 Lexus GS 350 Base,"$22,489","41,800 mi.",Audi South Orlando
2015 Lexus GS 350 Crafted Line,"$19,495","80,686 mi.",Mint Auto Sales
2015 Lexus GS 350 Crafted Line,"$17,999","92,015 mi.",Florida Fine Cars Orlando
1998 Lexus GS 400 ,"$4,999","110,677 mi.",Auto Express
2015 Lexus GS 350 Base,"$22,675","91,949 mi.",Gormley's Auto Center
2018 Lexus GS 350 ,"$28,495","69,510 mi.",PAAUTOSALES.COM
2020 Lexus GS 350 F Sport,"$40,997","28,856 mi.",Burns Buick GMC
2015 Lexus GS 350 Base,"$19,995","101,520 mi.",Bristol Auto Mall
2016 Lexus GS 350 Base,"$23,550","76,418 mi.",CarLink
2008 Lexus GS 350 Base,"$6,500","178,559 mi.",M2 Auto Group
2020 Lexus GS 350 F Sport,"$42,222","22,705 mi.",Deluxe Auto Sales
2018 Lexus GS 350 F Sport,"$25,995","105,836 mi.",Acura of Ramsey
2015 Lexus GS 350 Crafted Line,"$20,995","101,732 mi.",NJ Auto Sales
2016 Lexus GS 350 Base,"$21,995","74,913 mi.",Alpha Auto Sales
2018 Lexus GS 350 F Sport,"$18,999","122,512 mi.",Venture Motor Cars
2015 Lexus GS 350 Base,"$23,900","52,002 mi.",CarLink Fort Myers
2015 Lexus GS 350 Crafted Line,"$22,998","73,082 mi.",CarMax Ft. Myers - Offering Express Pickup and Home Delivery
2015 Lexus GS 350 Base,"$19,995","77,652 mi.",Mazda of Fort Myers
2018 Lexus GS 350 F Sport,"$36,999","35,047 mi.",Scanlon Lexus
2020 Lexus GS 350 F Sport,"$41,822","7,504 mi.",AutoLenders Toms River
